Method,NotFollowing_Count,Following_Count,NotFollowing_Avg_RCB,Following_Avg_RCB
BITES,213.0,52.0,1.5164,1.2308
CB,176.0,89.0,1.8125,0.764
CF,134.0,131.0,1.4627,1.458
CUTS,204.0,61.0,1.5294,1.2295
DR_L,161.0,104.0,1.528,1.3558
EP_L,201.0,64.0,1.5522,1.1719
FDR,145.0,120.0,1.7862,1.0667
LR,138.0,127.0,1.4783,1.4409
NN,154.0,111.0,1.4935,1.4144
RF,156.0,109.0,1.5385,1.3486
R_L,135.0,130.0,1.5037,1.4154
SVR,177.0,88.0,1.6723,1.0341
S_L,152.0,113.0,1.4145,1.5221
XGB,127.0,138.0,1.4409,1.4783
X_L,180.0,85.0,1.3944,1.6
