Method,NotFollowing_Count,Following_Count,NotFollowing_Recovery,Following_Recovery,Recovery_Ratio
BITES,66,6,15,4,2.933333333333333
CB,51,21,11,8,1.7662337662337662
CF,56,16,10,9,3.15
CUTS,48,24,12,7,1.1666666666666667
DR_L,54,18,13,6,1.3846153846153846
EP_L,48,24,10,9,1.7999999999999998
FDR,47,25,6,13,4.073333333333334
LR,27,45,13,6,0.27692307692307694
NN,61,11,18,1,0.3080808080808081
RF,59,13,17,2,0.5339366515837104
R_L,56,16,17,2,0.411764705882353
SVR,55,17,10,9,2.911764705882353
S_L,55,17,10,9,2.911764705882353
XGB,40,32,7,12,2.142857142857143
X_L,44,28,9,10,1.746031746031746
