Method,Following_Avg_RCB,Following_Avg_RCB_std,NotFollowing_Avg_RCB,NotFollowing_Avg_RCB_std,Following_Count,NotFollowing_Count,N_Runs
BITES,1.4902199999999999,0.4141004649974582,1.5917999999999999,0.02681956168338487,1.5,41.5,10
CB,1.3134299999999999,0.1687018214352043,1.7055,0.0751362318281489,12.1,30.9,10
CF,1.5426300000000002,0.29057459952461245,1.61189,0.07973763157310916,10.4,32.6,10
CUTS,1.7980899999999997,0.2413243619419031,1.4802899999999999,0.12686166087514386,14.4,28.6,10
DR_L,1.5298500000000002,0.4392749436413499,1.58559,0.12402858496688937,7.3,26.1,10
FDR,1.41783,0.16046996984552042,1.6612300000000002,0.07499425237235774,10.8,32.2,10
R_L,1.5406900000000001,0.5635774272942056,1.55497,0.23146994069305085,8.7,24.7,10
S_L,1.64524,0.46520300514936486,1.57371,0.12108281325880506,9.5,33.5,10
XGB,1.30022,0.2621121931116097,1.69784,0.10888135438785339,12.4,30.6,10
X_L,1.58045,0.22543404184422153,1.5963699999999998,0.06884504420153356,9.3,33.7,10
