Dataset,FDR,CB,NN,LR,RF,SVR,XGB,S_L,X_L,DR_L,R_L,CF,CUTS,EP_L,BITES
TransNEO clinical,1.64,1.99,-1.5,-2.72,2.59,0.58,4.28,-0.08,3.27,-1.42,-8.15,5.4,1.08,3.53,1.22
ARTemis clinical,7.72,6.83,0.58,2.5,3.71,3.36,6.83,-3.45,1.34,1.31,3.53,1.34,-6.56,-2.0,
GSE41998,17.76,17.52,1.36,0.68,4.24,10.78,-0.73,-0.94,-3.41,3.68,3.07,-0.08,3.49,4.64,3.03
GSE22226,21.7,21.01,7.0,0.5,-7.2,19.25,-0.19,-2.22,13.46,3.3,2.66,1.08,3.49,10.74,0.8
GSE22358,5.87,3.3,5.4,5.87,2.69,10.96,-20.64,-3.25,3.06,3.57,6.14,-20.64,1.34,4.35,4.58
TransNEO multi-omics,7.96,10.39,2.37,2.93,0.85,3.02,1.94,2.93,2.77,2.14,-0.82,3.98,9.52,13.01,2.0
ARTemis multi-omics,9.41,8.61,1.83,4.82,-1.39,2.66,7.87,3.17,7.52,-15.27,-9.56,-3.16,4.77,11.31,1.39
Combined TransNEO + ARTemis multi-omics CV,12.21,6.6,-4.09,-3.9,3.63,5.48,5.42,4.69,2.58,1.03,-1.75,0.39,4.5,2.95,1.28
TransNEO and ARTemis multi-omics OOD,13.62,4.82,-3.12,-21.76,-2.42,8.21,8.89,8.21,5.93,2.31,-3.97,8.53,1.39,5.56,3.66
