DataSet,Method,Recovery_Ratio,CAU,CAU_pp,extra_recoveries
GSE41998,BITES,1.6719,0.0303,3.033,8.0376
GSE41998,CB,7.1191,0.1752,17.515,46.4148
GSE41998,CF,0.9937,-0.0008,-0.0817,-0.2164
GSE41998,CUTS,1.6721,0.0349,3.4887,9.2451
GSE41998,DR_L,1.4191,0.0368,3.6775,9.7453
GSE41998,EP_L,1.899,0.0464,4.6447,12.3085
GSE41998,FDR,5.7396,0.1776,17.7619,47.069
GSE41998,LR,1.0556,0.0068,0.6754,1.7899
GSE41998,NN,1.1318,0.0136,1.3624,3.6104
GSE41998,RF,1.4733,0.0424,4.2429,11.2436
GSE41998,R_L,1.273,0.0307,3.0748,8.1481
GSE41998,SVR,3.1288,0.1078,10.7835,28.5763
GSE41998,S_L,0.9186,-0.0094,-0.9359,-2.4803
GSE41998,XGB,0.9474,-0.0073,-0.7339,-1.9449
GSE41998,X_L,0.6393,-0.0341,-3.4067,-9.0278
GSE22226,BITES,1.8667,0.008,0.8005,0.9286
GSE22226,CB,10.26,0.2101,21.0073,24.3684
GSE22226,CF,1.1433,0.0108,1.0802,1.253
GSE22226,CUTS,1.5091,0.0349,3.4898,4.0482
GSE22226,DR_L,1.6222,0.033,3.2995,3.0685
GSE22226,EP_L,4.5238,0.1074,10.7441,12.4632
GSE22226,FDR,14.8065,0.217,21.7039,25.1765
GSE22226,LR,1.1077,0.005,0.5029,0.5833
GSE22226,NN,3.8163,0.07,6.998,8.1176
GSE22226,RF,0.0,-0.072,-7.1964,-8.3478
GSE22226,R_L,1.9762,0.0266,2.6558,2.4699
GSE22226,SVR,9.375,0.1925,19.2529,22.3333
GSE22226,S_L,0.2796,-0.0222,-2.2215,-2.5769
GSE22226,XGB,0.9818,-0.0019,-0.1916,-0.2222
GSE22226,X_L,5.6026,0.1346,13.4558,15.6087
GSE22358,BITES,4.9359,0.0458,4.5753,5.5818
GSE22358,CB,1.8086,0.033,3.2982,4.0238
GSE22358,CF,0.2842,-0.2064,-20.6436,-25.1852
GSE22358,CUTS,1.3744,0.0134,1.3397,1.6344
GSE22358,DR_L,1.7727,0.0357,3.5729,4.359
GSE22358,EP_L,2.1282,0.0435,4.3452,5.3012
GSE22358,FDR,3.5185,0.0587,5.8671,7.1579
GSE22358,LR,3.5185,0.0587,5.8671,7.1579
GSE22358,NN,2.9355,0.054,5.4044,6.5934
GSE22358,RF,1.4898,0.0269,2.6948,3.2877
GSE22358,R_L,2.6591,0.0614,6.137,7.4872
GSE22358,SVR,9.2,0.1096,10.9587,13.3696
GSE22358,S_L,0.6942,-0.0325,-3.2494,-3.9643
GSE22358,XGB,0.2842,-0.2064,-20.6436,-25.1852
GSE22358,X_L,1.5957,0.0306,3.0601,3.7333
clin_TransNEO,BITES,1.5618,0.0122,1.2235,1.7985
clin_TransNEO,CB,1.2074,0.0199,1.9867,2.9205
clin_TransNEO,CF,1.6573,0.054,5.3958,7.9318
clin_TransNEO,CUTS,1.1686,0.0108,1.0797,1.5872
clin_TransNEO,DR_L,0.7928,-0.0142,-1.4224,-2.0909
clin_TransNEO,EP_L,1.664,0.0353,3.5289,5.1875
clin_TransNEO,FDR,1.1915,0.0164,1.6398,2.4105
clin_TransNEO,LR,0.8,-0.0272,-2.7211,-4.0
clin_TransNEO,NN,0.7312,-0.015,-1.5001,-2.2051
clin_TransNEO,RF,1.2689,0.0259,2.5945,3.814
clin_TransNEO,R_L,0.2503,-0.0815,-8.1497,-11.98
clin_TransNEO,SVR,1.0598,0.0058,0.5756,0.8462
clin_TransNEO,S_L,0.989,-0.0008,-0.0756,-0.1111
clin_TransNEO,XGB,1.6485,0.0428,4.2817,6.2941
clin_TransNEO,X_L,1.3942,0.0327,3.2697,4.8065
clin_ARTemis,BITES,,,,
clin_ARTemis,CB,2.4242,0.0683,6.8314,2.9375
clin_ARTemis,CF,1.2375,0.0134,1.339,0.5758
clin_ARTemis,CUTS,0.4148,-0.0656,-6.5615,-2.8214
clin_ARTemis,DR_L,1.2857,0.0131,1.3072,0.4444
clin_ARTemis,EP_L,0.7768,-0.02,-2.0048,-0.8621
clin_ARTemis,FDR,2.24,0.0772,7.7243,3.3214
clin_ARTemis,LR,2.1667,0.025,2.5045,1.0769
clin_ARTemis,NN,1.3333,0.0058,0.5814,0.25
clin_ARTemis,RF,1.6623,0.0371,3.7064,1.5938
clin_ARTemis,R_L,1.6667,0.0353,3.5294,1.2
clin_ARTemis,SVR,1.4062,0.0336,3.3592,1.4444
clin_ARTemis,S_L,0.5741,-0.0345,-3.4509,-1.4839
clin_ARTemis,XGB,2.4242,0.0683,6.8314,2.9375
clin_ARTemis,X_L,1.2375,0.0134,1.339,0.5758
multi_Trans_ART,BITES,1.5394,0.0128,1.2799,2.803
multi_Trans_ART,CB,1.9306,0.066,6.6029,14.4604
multi_Trans_ART,CF,1.0324,0.0039,0.3864,0.8462
multi_Trans_ART,CUTS,1.6103,0.045,4.4996,9.8542
multi_Trans_ART,DR_L,1.1268,0.0103,1.0274,2.25
multi_Trans_ART,EP_L,1.3684,0.0295,2.9505,6.4615
multi_Trans_ART,FDR,3.0147,0.1221,12.2063,26.7317
multi_Trans_ART,LR,0.652,-0.039,-3.8996,-8.5401
multi_Trans_ART,NN,0.4385,-0.0409,-4.0931,-8.9639
multi_Trans_ART,RF,1.3773,0.0363,3.6274,7.944
multi_Trans_ART,R_L,0.7579,-0.0175,-1.7504,-3.8333
multi_Trans_ART,SVR,1.8,0.0548,5.4795,12.0
multi_Trans_ART,S_L,1.6984,0.0469,4.6941,10.28
multi_Trans_ART,XGB,1.654,0.0542,5.4167,11.8626
multi_Trans_ART,X_L,1.3255,0.0258,2.5791,5.6483
multi_TransNEO,BITES,1.7268,0.02,2.0042,2.9462
multi_TransNEO,CB,2.9747,0.1039,10.3864,15.268
multi_TransNEO,CF,1.5238,0.0398,3.9753,5.8437
multi_TransNEO,CUTS,2.75,0.0952,9.5238,14.0
multi_TransNEO,DR_L,1.2652,0.0214,2.139,3.1443
multi_TransNEO,EP_L,4.9173,0.1301,13.0063,19.1193
multi_TransNEO,FDR,3.7273,0.0796,7.9642,11.7073
multi_TransNEO,LR,1.369,0.0293,2.9337,4.3125
multi_TransNEO,NN,1.4641,0.0237,2.3721,3.487
multi_TransNEO,RF,1.0847,0.0085,0.8503,1.25
multi_TransNEO,R_L,0.8929,-0.0082,-0.8163,-1.2
multi_TransNEO,SVR,1.3541,0.0302,3.0243,4.4457
multi_TransNEO,S_L,1.369,0.0293,2.9337,4.3125
multi_TransNEO,XGB,1.2165,0.0194,1.9373,2.8478
multi_TransNEO,X_L,1.5889,0.0277,2.7734,4.0769
multi_ARTemis,BITES,1.5,0.0139,1.3889,1.0
multi_ARTemis,CB,2.2917,0.0861,8.6111,6.2
multi_ARTemis,CF,0.7253,-0.0316,-3.1566,-2.2727
multi_ARTemis,CUTS,1.4536,0.0477,4.7673,3.4324
multi_ARTemis,DR_L,0.1014,-0.1527,-15.2709,-8.8571
multi_ARTemis,EP_L,3.6857,0.1131,11.3071,6.5581
multi_ARTemis,FDR,3.0994,0.0941,9.4078,6.7736
multi_ARTemis,LR,1.7662,0.0482,4.8203,3.4706
multi_ARTemis,NN,1.3571,0.0183,1.8275,1.3158
multi_ARTemis,RF,0.9,-0.0139,-1.3889,-1.0
multi_ARTemis,R_L,0.3512,-0.0956,-9.5567,-5.5429
multi_ARTemis,SVR,1.6209,0.0266,2.6601,1.9153
multi_ARTemis,S_L,1.6154,0.0317,3.1746,2.2857
multi_ARTemis,XGB,2.7,0.0787,7.8704,5.6667
multi_ARTemis,X_L,2.5105,0.0752,7.521,5.4151
OOD_multi_Trans_ART,BITES,2.9333,0.0366,3.6616,2.6364
OOD_multi_Trans_ART,CB,1.7662,0.0482,4.8203,3.4706
OOD_multi_Trans_ART,CF,3.15,0.0853,8.5317,6.1429
OOD_multi_Trans_ART,CUTS,1.1667,0.0139,1.3889,1.0
OOD_multi_Trans_ART,DR_L,1.3846,0.0231,2.3148,1.6667
OOD_multi_Trans_ART,EP_L,1.8,0.0556,5.5556,4.0
OOD_multi_Trans_ART,FDR,4.0733,0.1362,13.6229,9.8085
OOD_multi_Trans_ART,LR,0.2769,-0.2176,-21.7593,-15.6667
OOD_multi_Trans_ART,NN,0.3081,-0.0312,-3.1193,-2.2459
OOD_multi_Trans_ART,RF,0.5339,-0.0242,-2.4247,-1.7458
OOD_multi_Trans_ART,R_L,0.4118,-0.0397,-3.9683,-2.8571
OOD_multi_Trans_ART,SVR,2.9118,0.0821,8.2071,5.9091
OOD_multi_Trans_ART,S_L,2.9118,0.0821,8.2071,5.9091
OOD_multi_Trans_ART,XGB,2.1429,0.0889,8.8889,6.4
OOD_multi_Trans_ART,X_L,1.746,0.0593,5.9343,4.2727
