Method,Metric,N_Datasets,Mean,Std_Across_Datasets,CI95_Lo,CI95_Hi
FDR,CAU_pp,6,7.8837,4.4191,4.6192,10.9828
CB,CAU_pp,6,5.9828,3.5306,3.4628,8.4055
XGB,CAU_pp,6,4.82,3.0027,2.7975,6.8418
S_L,CAU_pp,6,2.791,3.6997,-0.0454,5.2952
X_L,CAU_pp,6,3.6108,3.8847,0.6069,6.1114
DR_L,CAU_pp,6,-0.4405,2.248,-1.9624,1.161
R_L,CAU_pp,6,-3.3008,2.3426,-5.0771,-1.723
CF,CAU_pp,6,-0.4692,3.768,-3.4461,2.0045
CUTS,CAU_pp,6,2.5586,5.7337,-1.9482,6.6604
BITES,CAU_pp,6,1.4557,2.29,-0.1767,3.1305
FDR,RRD_pp,6,25.1242,15.6492,14.14,36.238
CB,RRD_pp,6,18.0341,10.4321,10.5013,25.4208
XGB,RRD_pp,6,15.0923,9.6571,8.5528,22.4961
S_L,RRD_pp,6,10.6011,15.2695,-0.5585,21.4436
X_L,RRD_pp,6,12.2497,15.4332,1.2024,21.9992
DR_L,RRD_pp,6,-0.9533,7.2425,-5.821,4.4351
R_L,RRD_pp,6,-10.8062,8.7078,-17.2769,-4.5139
CF,RRD_pp,6,-0.0716,8.6694,-6.7637,5.582
CUTS,RRD_pp,6,6.9366,16.363,-5.9344,18.6436
BITES,RRD_pp,6,11.8477,28.3932,-8.5516,32.0438
FDR,Recovery_Ratio,6,2.6074,1.023,1.8562,3.336
CB,Recovery_Ratio,6,2.085,0.6693,1.6102,2.5752
XGB,Recovery_Ratio,6,1.792,0.5393,1.4476,2.2046
S_L,Recovery_Ratio,6,1.5669,0.7732,1.0545,2.1373
X_L,Recovery_Ratio,6,1.6699,0.7532,1.1395,2.1443
DR_L,Recovery_Ratio,6,1.0059,0.2562,0.8396,1.204
R_L,Recovery_Ratio,6,0.6813,0.3048,0.4664,0.906
CF,Recovery_Ratio,6,1.0622,0.3227,0.8242,1.276
CUTS,Recovery_Ratio,6,1.4859,0.8359,0.889,2.1594
BITES,Recovery_Ratio,6,1.5894,1.2497,0.6899,2.4958
